Found 612 unique locations with Flexitricity load curtailment/drop components
Format: Tab-separated values (copy and paste into Excel)

====================================================================================================
Location	Status	Delivery Year	Auction	Description	CMU ID	Google Maps URL
19 Bouverie Place  CT20 1AU	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=19%20Bouverie%20Place%20%20CT20%201AU&t=k
19 Selbourne Walk Shopping Centre  E17 7LS	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=19%20Selbourne%20Walk%20Shopping%20Centre%20%20E17%207LS&t=k
2-20 Western Rd  NW10 7LW	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=2-20%20Western%20Rd%20%20NW10%207LW&t=k
2 Celtic Point Raymoth Lane, Worksop, S81 7AZ	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=2%20Celtic%20Point%20Raymoth%20Lane%2C%20Worksop%2C%20S81%207AZ&t=k
2 North Street South Bank TS6 6AB	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=2%20North%20Street%20South%20Bank%20TS6%206AB&t=k
2 Sandpiper Drive Western Harbour EH6 6QU	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=2%20Sandpiper%20Drive%20Western%20Harbour%20EH6%206QU&t=k
20 Norwood , Beverley, HU17 9EY	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=20%20Norwood%20%2C%20Beverley%2C%20HU17%209EY&t=k
20 Rothes Drive , Glasgow, G23 5EZ	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=20%20Rothes%20Drive%20%2C%20Glasgow%2C%20G23%205EZ&t=k
204 Lavender Hill Clapham Junction SW11 1JG	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=204%20Lavender%20Hill%20Clapham%20Junction%20SW11%201JG&t=k
21 Market Street  B61 8DA	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=21%20Market%20Street%20%20B61%208DA&t=k
214 Hollyhedge Road  M22 4QN	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24091	https://www.google.com/maps?q=214%20Hollyhedge%20Road%20%20M22%204QN&t=k
226 St Helens Road , Bolton, BL3 4EB	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=226%20St%20Helens%20Road%20%2C%20Bolton%2C%20BL3%204EB&t=k
24 Highfields Road Whitham, Chelmsford, CM8 2HJ	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=24%20Highfields%20Road%20Whitham%2C%20Chelmsford%2C%20CM8%202HJ&t=k
252-310 Huddersfield Road , Oldham, OL4 2RB	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=252-310%20Huddersfield%20Road%20%2C%20Oldham%2C%20OL4%202RB&t=k
264 Barnsley Road, Moorthorpe, WF9 2AD	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=264%20Barnsley%20Road%2C%20Moorthorpe%2C%20WF9%202AD&t=k
271 Bordsley Green , Birmingham, B9 5EY	ACTIVE	2028	2028-29 (T-4) Four Year Ahead Capacity Auction	Load curtailment from refridgeration	F24082	https://www.google.com/maps?q=271%20Bordsley%20Green%20%2C%20Birmingham%2C%20B9%205EY&t=k
